OrderID,OrderDate,ProductID,CustomerName,QuantityOrdered,PriceEach,Sales
10107,2003-02-24,S10_1678,Land of Toys Inc.,30,95.7,2871
10121,2003-05-07,S10_1678,Reims Collectables,34,81.35,2765.9
10134,2003-07-01,S10_1678,Lyon Souveniers,41,94.74,3884.34
10145,2003-08-25,S10_1678,Toys4GrownUps.com,45,83.26,3746.7
10159,2003-10-10,S10_1678,Corporate Gift Ideas Co.,49,100,5205.27
10168,2003-10-28,S10_1678,Technics Stores Inc.,36,96.66,3479.76
10180,2003-11-11,S10_1678,Daedalus Designs Imports,29,86.13,2497.77
10188,2003-11-18,S10_1678,Herkku Gifts,48,100,5512.32
10201,2003-12-01,S10_1678,Mini Wheels Co.,22,98.57,2168.54
10211,2004-01-15,S10_1678,Auto Canal Petit,41,100,4708.44
10223,2004-02-20,S10_1678,"Australian Collectors, Co.",37,100,3965.66
10237,2004-04-05,S10_1678,Vitachrome Inc.,23,100,2333.12
10251,2004-05-18,S10_1678,Tekni Collectables Inc.,28,100,3188.64
10263,2004-06-28,S10_1678,Gift Depot Inc.,34,100,3676.76
10275,2004-07-23,S10_1678,La Rochelle Gifts,45,92.83,4177.35
10285,2004-08-27,S10_1678,Marta's Replicas Co.,36,100,4099.68
10299,2004-09-30,S10_1678,"Toys of Finland, Co.",23,100,2597.39
10309,2004-10-15,S10_1678,Baane Mini Imports,41,100,4394.38
10318,2004-11-02,S10_1678,Diecast Classics Inc.,46,94.74,4358.04
10329,2004-11-15,S10_1678,Land of Toys Inc.,42,100,4396.14
10341,2004-11-24,S10_1678,Salzburg Collectables,41,100,7737.93
10361,2004-12-17,S10_1678,Souveniers And Things Co.,20,72.55,1451
10375,2005-02-03,S10_1678,La Rochelle Gifts,21,34.91,733.11
10388,2005-03-03,S10_1678,FunGiftIdeas.com,42,76.36,3207.12
10403,2005-04-08,S10_1678,"UK Collectables, Ltd.",24,100,2434.56
10417,2005-05-13,S10_1678,Euro Shopping Channel,66,100,7516.08
10103,2003-01-29,S10_1949,Baane Mini Imports,26,100,5404.62
10112,2003-03-24,S10_1949,"Volvo Model Replicas, Co",29,100,7209.11
10126,2003-05-28,S10_1949,"Corrida Auto Replicas, Ltd",38,100,7329.06
10140,2003-07-24,S10_1949,Technics Stores Inc.,37,100,7374.1
10150,2003-09-19,S10_1949,"Dragon Souveniers, Ltd.",45,100,10993.5
10163,2003-10-20,S10_1949,Classic Legends Inc.,21,100,4860.24
10174,2003-11-06,S10_1949,"Australian Gift Network, Co",34,100,8014.82
10183,2003-11-13,S10_1949,"Classic Gift Ideas, Inc",23,100,5372.57
10194,2003-11-25,S10_1949,"Saveley & Henriot, Co.",42,100,7290.36
10206,2003-12-05,S10_1949,Canadian Gift Exchange Network,47,100,9064.89
10215,2004-01-29,S10_1949,West Coast Collectables Co.,35,100,6075.3
10228,2004-03-10,S10_1949,Cambridge Collectables Co.,29,100,6463.23
10245,2004-05-04,S10_1949,Super Scale Inc.,34,100,6120.34
10258,2004-06-15,S10_1949,"Tokyo Collectables, Ltd",32,100,7680.64
10270,2004-07-19,S10_1949,Souveniers And Things Co.,21,100,4905.39
10280,2004-08-17,S10_1949,Amica Models & Co.,34,100,8014.82
10291,2004-09-08,S10_1949,Scandinavian Gift Ideas,37,100,7136.19
10304,2004-10-11,S10_1949,Auto Assoc. & Cie.,47,100,10172.7
10312,2004-10-21,S10_1949,Mini Gifts Distributors Ltd.,48,100,11623.7
10322,2004-11-04,S10_1949,Online Diecast Creations Co.,40,100,6000.4
10333,2004-11-18,S10_1949,Mini Wheels Co.,26,100,3003
10347,2004-11-29,S10_1949,"Australian Collectors, Co.",30,100,3944.7
10357,2004-12-10,S10_1949,Mini Gifts Distributors Ltd.,32,100,5691.84
10369,2005-01-20,S10_1949,Collectables For Less Inc.,41,100,4514.92
10381,2005-02-17,S10_1949,Corporate Gift Ideas Co.,36,100,8254.8
10391,2005-03-09,S10_1949,"Anna's Decorations, Ltd",24,100,2416.56
10411,2005-05-01,S10_1949,Quebec Home Shopping Network,23,100,4140.23
10424,2005-05-31,S10_1949,Euro Shopping Channel,50,100,12001
10107,2003-02-24,S10_2016,Land of Toys Inc.,39,99.91,3896.49
10120,2003-04-29,S10_2016,"Australian Collectors, Co.",29,96.34,2793.86
10134,2003-07-01,S10_2016,Lyon Souveniers,27,100,3307.77
10145,2003-08-25,S10_2016,Toys4GrownUps.com,37,100,5192.95
10159,2003-10-10,S10_2016,Corporate Gift Ideas Co.,37,100,5016.83
10168,2003-10-28,S10_2016,Technics Stores Inc.,27,100,3660.93
10180,2003-11-11,S10_2016,Daedalus Designs Imports,42,100,4695.6
10188,2003-11-18,S10_2016,Herkku Gifts,38,96.34,3660.92
10201,2003-12-01,S10_2016,Mini Wheels Co.,24,100,3025.92
10210,2004-01-12,S10_2016,Osaka Souveniers Co.,23,100,3009.09
10223,2004-02-20,S10_2016,"Australian Collectors, Co.",47,100,5422.39
10236,2004-04-03,S10_2016,Motor Mint Distributors Inc.,22,100,2852.08
10251,2004-05-18,S10_2016,Tekni Collectables Inc.,44,100,5756.52
10263,2004-06-28,S10_2016,Gift Depot Inc.,40,100,4472
10275,2004-07-23,S10_2016,La Rochelle Gifts,22,100,2904.44
10285,2004-08-27,S10_2016,Marta's Replicas Co.,47,100,6484.59
10298,2004-09-27,S10_2016,Atelier graphique,39,96.34,3757.26
10308,2004-10-15,S10_2016,Mini Classics,34,100,4043.96
10318,2004-11-02,S10_2016,Diecast Classics Inc.,45,100,5566.5
10329,2004-11-15,S10_2016,Land of Toys Inc.,20,100,3176
10339,2004-11-23,S10_2016,"Tokyo Collectables, Ltd",40,68.92,2756.8
10361,2004-12-17,S10_2016,Souveniers And Things Co.,26,51.15,1329.9
10374,2005-02-02,S10_2016,"Australian Gift Network, Co",39,100,5288.01
10388,2005-03-03,S10_2016,FunGiftIdeas.com,50,44.51,2225.5
10402,2005-04-07,S10_2016,Auto Canal Petit,45,100,5833.8
10417,2005-05-13,S10_2016,Euro Shopping Channel,45,100,5887.35
