customerId,gender,age,signupDate
C5663,Male,Adult,2024-01-14
C2831,Male,Adult,2024-07-07
C2851,Other,Senior,2025-06-20
C1694,Female,Senior,2023-09-05
C4339,Other,Senior,2023-12-29
C6543,Other,Adult,2023-09-28
C6423,Male,Adult,2025-04-08
C4621,Male,Adult,2024-02-05
C5146,Other,Senior,2024-12-17
C3579,Male,Adult,2023-10-13
C5535,Male,Adult,2025-07-30
C3894,Female,Senior,2025-01-24
C4071,Male,Senior,2024-12-27
C4231,Female,Senior,2025-04-11
C3914,Male,Teenager,2023-11-29
C5681,Other,Adult,2024-11-25
C4975,Female,Teenager,2025-06-20
C2876,Female,Senior,2024-12-30
C6144,Other,Teenager,2024-08-05
C5092,Female,Adult,2023-10-05
C2747,Female,Adult,2024-08-30
C3406,Female,Teenager,2024-02-25
C2975,Male,Teenager,2024-09-28
C5497,Other,Adult,2025-01-26
C2748,Other,Teenager,2024-07-07
C1929,Female,Teenager,2023-11-27
C5124,Male,Adult,2025-05-25
C6250,Male,Teenager,2024-06-29
C1351,Female,Adult,2024-06-16
C5795,Female,Senior,2023-11-07
C5513,Male,Teenager,2025-07-20
C6362,Female,Senior,2023-11-22
C6340,Male,Senior,2025-07-07
C5444,Other,Teenager,2025-07-02
C1454,Female,Adult,2025-07-01
C4748,Other,Adult,2024-03-10
C2827,Male,Teenager,2025-03-05
C3338,Female,Senior,2023-12-04
C1614,Other,Adult,2023-12-31
C4382,Male,Senior,2025-01-20
C1827,Other,Adult,2024-05-24
C5009,Male,Teenager,2024-03-25
C3152,Other,Teenager,2024-02-26
C4729,Female,Teenager,2025-07-18
C5046,Other,Teenager,2024-08-15
C3588,Other,Teenager,2024-01-07
C3247,Female,Senior,2023-11-27
C2454,Other,Teenager,2023-12-04
C4046,Other,Adult,2024-11-10
C6194,Female,Adult,2023-10-09
C5845,Other,Senior,2024-11-07
C6804,Female,Adult,2025-01-16
C1490,Other,Senior,2024-12-02
C4203,Male,Adult,2024-04-17
C6818,Male,Adult,2024-10-22
C2583,Female,Adult,2024-08-10
C1891,Male,Teenager,2023-11-28
C1972,Male,Teenager,2024-06-03
C5895,Female,Adult,2025-02-19
C5179,Male,Adult,2023-09-03
C3147,Female,Adult,2024-10-30
C3256,Other,Senior,2024-07-06
C3011,Male,Teenager,2025-07-19
C2727,Other,Senior,2024-11-27
C5922,Other,Adult,2024-08-03
C3797,Other,Teenager,2024-05-08
C5286,Other,Adult,2025-03-09
C3379,Other,Adult,2023-12-19
C4465,Female,Adult,2025-01-22
C4554,Other,Teenager,2024-06-20
C1842,Female,Teenager,2025-04-27
C1557,Female,Teenager,2024-01-11
C6668,Other,Senior,2024-10-14
C6686,Female,Senior,2024-08-11
C3239,Female,Senior,2023-09-13
C1207,Other,Teenager,2023-09-23
C6466,Other,Senior,2024-02-14
C6687,Other,Adult,2025-06-10
C3210,Other,Teenager,2025-06-05
C2375,Female,Teenager,2023-11-17
C3484,Male,Senior,2025-08-02
C3775,Other,Adult,2024-12-29
C5566,Other,Teenager,2024-03-25
C3733,Male,Adult,2024-12-18
C5134,Male,Senior,2025-05-02
C4670,Other,Adult,2024-08-23
C2760,Other,Teenager,2025-07-26
C6071,Female,Senior,2024-01-23
C5186,Female,Adult,2023-10-27
C3464,Other,Adult,2024-06-11
C5340,Male,Teenager,2024-05-09
C5353,Male,Adult,2025-05-25
C6843,Other,Senior,2025-04-10
C5132,Male,Teenager,2024-09-13
C2398,Other,Senior,2023-12-29
C5122,Other,Senior,2025-03-30
C6532,Female,Senior,2024-03-15
C1833,Other,Adult,2025-06-06
C2040,Male,Senior,2024-02-07
C2631,Female,Adult,2024-11-08
C3877,Other,Teenager,2024-10-22
C4158,Male,Senior,2024-04-27
C3705,Other,Teenager,2024-05-15
C5223,Other,Adult,2023-11-01
C4259,Male,Teenager,2024-12-28
C4636,Female,Teenager,2024-01-27
C3087,Female,Adult,2025-05-05
C6268,Male,Teenager,2024-02-11
C1434,Other,Senior,2024-03-16
C3992,Male,Teenager,2024-07-21
C4725,Other,Senior,2023-12-10
C3703,Other,Teenager,2024-10-30
C1727,Male,Adult,2023-08-26
C2154,Male,Teenager,2024-11-13
C6419,Female,Senior,2025-04-12
C6318,Male,Teenager,2025-01-17
C5633,Other,Adult,2025-05-20
C5834,Other,Adult,2023-10-06
C1356,Female,Teenager,2024-10-13
C6282,Female,Senior,2024-03-18
C3241,Other,Adult,2025-08-10
C4303,Male,Adult,2024-12-18
C6640,Female,Adult,2025-01-31
C1410,Male,Teenager,2025-04-06
C2514,Male,Teenager,2024-08-10
C5399,Other,Teenager,2024-04-12
C5621,Other,Senior,2025-05-28
C2832,Other,Teenager,2024-07-03
C6876,Female,Teenager,2025-02-06
C1577,Male,Senior,2024-08-19
C5668,Female,Adult,2025-06-27
C1370,Male,Senior,2025-04-27
C5722,Male,Teenager,2025-06-26
C6273,Male,Teenager,2025-05-17
C3949,Male,Adult,2024-10-18
C1847,Male,Senior,2024-03-01
C6999,Female,Adult,2024-05-16
C3717,Female,Senior,2024-07-01
C6796,Other,Teenager,2024-02-27
C1799,Male,Adult,2025-02-22
C3815,Male,Teenager,2025-04-07
C5637,Male,Senior,2023-11-29
C2045,Male,Adult,2024-06-22
C4628,Female,Adult,2025-03-20
C4407,Other,Adult,2023-08-31
C5061,Female,Teenager,2024-06-30
C4423,Male,Teenager,2024-06-21
C2522,Other,Teenager,2025-03-25
C2161,Female,Senior,2025-01-20
C2167,Male,Senior,2025-01-30
C5088,Other,Senior,2023-09-25
C3941,Other,Adult,2023-10-03
C2536,Female,Adult,2023-12-26
C3321,Male,Teenager,2024-05-10
C1075,Male,Adult,2023-09-24
C5413,Other,Teenager,2024-11-16
C6438,Male,Senior,2025-01-26
C6145,Male,Senior,2023-09-30
C6172,Other,Adult,2025-08-04
C3641,Male,Adult,2025-03-06
C3998,Female,Senior,2025-07-03
C6266,Other,Senior,2024-07-16
C4699,Other,Senior,2025-06-24
C3956,Other,Teenager,2025-03-30
C6753,Other,Teenager,2024-08-24
C1279,Female,Teenager,2025-03-14
C2458,Female,Adult,2024-02-11
C5113,Female,Adult,2025-02-21
C1800,Female,Adult,2024-10-31
C3333,Other,Teenager,2023-12-25
C6015,Other,Adult,2025-06-06
C2280,Male,Teenager,2024-10-05
C5166,Female,Teenager,2024-06-29
C3672,Male,Adult,2023-11-22
C1043,Other,Senior,2025-07-02
C4592,Other,Senior,2023-08-24
C5410,Male,Senior,2024-01-13
C1176,Other,Adult,2025-04-19
C2453,Other,Senior,2024-11-20
C6181,Other,Adult,2024-04-05
C5067,Male,Senior,2024-08-10
C1918,Male,Teenager,2023-11-29
C1875,Male,Teenager,2024-12-26
C3778,Female,Teenager,2024-01-12
C5964,Male,Senior,2025-02-03
C5102,Male,Adult,2024-03-01
C5371,Other,Adult,2024-02-25
