orderId,customerId,dishName,restaurantName,quantity,price,paymentMethod,orderFrequency,lastOrderDate,loyaltyPoints,churned,rating,ratingDate,deliveryStatus,city,orderDate,signupDate
O9663,C5663,Burger,McDonald's,5,1478.27,Cash,38,2025-07-19,238,Active,,2024-10-14,Cancelled,Peshawar,2023-08-23,2024-01-14
O6831,C2831,Burger,KFC,3,956.04,Wallet,24,2024-11-25,81,Active,2.0,2025-08-21,Delayed,Multan,2023-08-23,2024-07-07
O6851,C2851,Fries,Pizza Hut,2,882.51,Cash,42,2025-05-10,82,Inactive,3.0,2024-09-19,Delayed,Multan,2023-08-23,2025-06-20
O5694,C1694,Pizza,Subway,4,231.3,Card,27,2025-07-24,45,Inactive,2.0,2025-06-29,Delayed,Peshawar,2023-08-23,2023-09-05
O8339,C4339,Sandwich,KFC,1,1156.69,Cash,35,2024-12-21,418,Inactive,,2025-03-06,Cancelled,Lahore,2023-08-24,2023-12-29
O10543,C6543,Pizza,Burger King,5,1213.62,Cash,45,2024-10-10,418,Inactive,4.0,2025-06-01,Delivered,Karachi,2023-08-24,2023-09-28
O10423,C6423,Pasta,McDonald's,5,672.91,Wallet,31,2025-05-25,347,Active,,2025-03-04,Cancelled,Lahore,2023-08-24,2025-04-08
O8621,C4621,Pizza,Pizza Hut,2,271.74,Cash,14,2025-05-01,429,Active,2.0,2024-09-30,Delivered,Peshawar,2023-08-24,2024-02-05
O9146,C5146,Pizza,KFC,5,596.96,Wallet,1,2025-05-16,24,Active,4.0,2024-10-27,Delayed,Karachi,2023-08-24,2024-12-17
O7579,C3579,Pizza,Pizza Hut,2,1443.25,Cash,15,2025-02-23,270,Inactive,3.0,2024-10-11,Delayed,Karachi,2023-08-24,2023-10-13
O9535,C5535,Sandwich,Subway,2,645.52,Cash,32,2025-04-08,133,Active,4.0,2024-12-05,Delayed,Lahore,2023-08-24,2025-07-30
O7894,C3894,Burger,Burger King,1,126.53,Wallet,45,2024-09-26,48,Inactive,,2025-08-20,Cancelled,Multan,2023-08-24,2025-01-24
O8071,C4071,Pizza,Subway,1,465.75,Card,29,2024-12-26,394,Active,,2025-04-16,Cancelled,Islamabad,2023-08-24,2024-12-27
O8231,C4231,Sandwich,Burger King,3,796.91,Wallet,39,2024-11-12,5,Inactive,5.0,2025-02-27,Delivered,Multan,2023-08-24,2025-04-11
O7914,C3914,Pizza,KFC,4,1140.76,Wallet,23,2025-04-22,492,Inactive,5.0,2025-04-19,Delayed,Islamabad,2023-08-24,2023-11-29
O9681,C5681,Pizza,Subway,1,1285.18,Cash,10,2025-04-09,196,Inactive,2.0,2025-06-10,Delayed,Islamabad,2023-08-25,2024-11-25
O8975,C4975,Burger,Burger King,1,673.86,Wallet,38,2025-07-07,439,Inactive,2.0,2025-07-09,Delivered,Karachi,2023-08-25,2025-06-20
O6876,C2876,Burger,KFC,2,330.93,Cash,45,2025-07-17,455,Active,,2024-11-28,Cancelled,Islamabad,2023-08-25,2024-12-30
O10144,C6144,Pasta,Subway,2,991.17,Wallet,6,2025-04-22,101,Active,,2025-03-27,Cancelled,Peshawar,2023-08-25,2024-08-05
O9092,C5092,Pasta,Subway,1,1485.16,Card,46,2025-04-24,171,Inactive,3.0,2025-08-05,Delayed,Lahore,2023-08-25,2023-10-05
O6747,C2747,Sandwich,Subway,2,802.12,Wallet,22,2024-09-15,32,Inactive,,2025-06-11,Cancelled,Lahore,2023-08-25,2024-08-30
O7406,C3406,Sandwich,Pizza Hut,1,1394.47,Cash,13,2025-06-16,273,Inactive,2.0,2025-07-20,Delayed,Lahore,2023-08-25,2024-02-25
O6975,C2975,Pizza,Pizza Hut,3,1287.69,Wallet,49,2025-06-05,35,Active,4.0,2024-11-10,Delivered,Multan,2023-08-25,2024-09-28
O9497,C5497,Pasta,Burger King,5,785.37,Card,49,2024-10-21,463,Active,2.0,2025-05-19,Delivered,Lahore,2023-08-25,2025-01-26
O6748,C2748,Fries,Pizza Hut,2,1304.8,Cash,2,2024-12-01,435,Inactive,,2024-11-29,Cancelled,Karachi,2023-08-25,2024-07-07
O5929,C1929,Fries,KFC,1,599.7,Wallet,35,2025-06-26,172,Active,4.0,2024-11-10,Delayed,Peshawar,2023-08-26,2023-11-27
O9124,C5124,Burger,McDonald's,3,1065.15,Cash,38,2024-12-13,250,Inactive,,2025-04-18,Cancelled,Lahore,2023-08-26,2025-05-25
O10250,C6250,Pasta,McDonald's,5,576.33,Card,7,2025-05-03,60,Active,,2025-06-03,Cancelled,Lahore,2023-08-26,2024-06-29
O5351,C1351,Fries,KFC,3,761.47,Card,3,2025-01-08,240,Inactive,2.0,2024-11-29,Delivered,Karachi,2023-08-26,2024-06-16
O9795,C5795,Pizza,KFC,5,1267.2,Card,32,2024-11-10,72,Active,5.0,2024-10-21,Delayed,Islamabad,2023-08-26,2023-11-07
O9513,C5513,Pizza,KFC,3,1044.89,Card,31,2024-09-15,496,Inactive,2.0,2024-12-27,Delayed,Islamabad,2023-08-26,2025-07-20
O10362,C6362,Pizza,Burger King,4,343.52,Card,34,2024-09-29,164,Active,3.0,2025-01-25,Delivered,Islamabad,2023-08-26,2023-11-22
O10340,C6340,Sandwich,Burger King,2,209.77,Cash,16,2024-11-20,453,Active,,2024-09-04,Cancelled,Multan,2023-08-26,2025-07-07
O9444,C5444,Pasta,Subway,3,1052.17,Cash,12,2025-04-21,14,Inactive,3.0,2025-02-08,Delayed,Peshawar,2023-08-26,2025-07-02
O5454,C1454,Pizza,McDonald's,2,1030.25,Wallet,5,2025-06-26,273,Active,,2025-02-05,Cancelled,Islamabad,2023-08-26,2025-07-01
